variable;unit;min;max;definition
Carbon Sequestration|CCS|Biomass|Energy|Supply|Gases;Mt CO2/yr;0;;total carbon dioxide emissions captured from bioenergy use in gaseous fuel production, excl. hydrogen (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen;Mt CO2/yr;0;;total carbon dioxide emissions captured from bioenergy use in hydrogen production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids;Mt CO2/yr;0;;total carbon dioxide emissions captured from bioenergy use in liquid fuel production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Carbon Sequestration|CCS|Biomass|Energy|Supply|Other;Mt CO2/yr;0;;total carbon dioxide emissions captured from bioenergy use in other energy supply (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Carbon Sequestration|CCS|Fossil|Energy|Demand|industry;Mt CO2/yr;0;;total carbon dioxide emissions captured from fossil fuel use in industry (IPCC category 1A2) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Carbon Sequestration|CCS|Fossil|Energy|Supply;Mt CO2/yr;0;;total carbon dioxide emissions captured from fossil fuel use in energy supply (IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity;Mt CO2/yr;0;;total carbon dioxide emissions captured from fossil fuel use in electricity production (part of IPCC category 1A1a) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Carbon Sequestration|CCS|Fossil|Energy|Supply|Gases;Mt CO2/yr;0;;total carbon dioxide emissions captured from fossil fuel use in gaseous fuel production, excl. hydrogen (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen;Mt CO2/yr;0;;total carbon dioxide emissions captured from fossil fuel use in hydrogen production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids;Mt CO2/yr;0;;total carbon dioxide emissions captured from fossil fuel use in liquid fuel production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Carbon Sequestration|CCS|Fossil|Energy|Supply|Other;Mt CO2/yr;0;;total carbon dioxide emissions captured from fossil fuel use in other energy supply (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Carbon Sequestration|Direct Air Capture;Mt CO2/yr;0;;total carbon dioxide sequestered through direct air capture
Carbon Sequestration|Enhanced Weathering;Mt CO2/yr;0;;total carbon dioxide sequestered through enhanced weathering
Carbon Sequestration|Land Use|Afforestation;Mt CO2/yr;;;total carbon dioxide sequestered through afforestation
Carbon Sequestration|Land Use|Biochar;Mt CO2/yr;;;total carbon dioxide sequestered through biochar
Carbon Sequestration|Land Use|Soil Carbon Management;Mt CO2/yr;;;total carbon dioxide sequestered through soil carbon management techniques
Carbon Sequestration|Other;Mt CO2/yr;;;total carbon dioxide sequestered through other techniques  (please provide a definition of other sources in this category in the 'comments' tab)
Forcing;W/m2;0;;radiative forcing from all greenhouse gases and forcing agents, including contributions from albedo change, nitrate, and mineral dust
Temperature|Global Mean;°C;;;change in global mean temperature relative to pre-industrial
Concentration|CH4;ppb;0;;atmospheric concentration of methane
Concentration|CO2;ppm;0;;atmospheric concentration of carbon dioxide
Concentration|N2O;ppb;0;;atmospheric concentration of nitrous oxide
Forcing|Aerosol;W/m2;0;;total radiative forcing from aerosols
Forcing|Aerosol|BC;W/m2;0;;total radiative forcing from black carbon
Forcing|Aerosol|Black and Organic Carbon;W/m2;0;;total radiative forcing from black and organic carbon
Forcing|Aerosol|Cloud Indirect;W/m2;0;;total radiative forcing from indirect effects of aerosols on clouds
Forcing|Aerosol|OC;W/m2;0;;total radiative forcing from organic carbon
Forcing|Aerosol|Other;W/m2;0;;total radiative forcing from aerosols not covered in the other categories (including aerosols from biomass burning)
Forcing|Aerosol|Sulfate Direct;W/m2;0;;total radiative forcing from direct sufate effects
Forcing|Albedo Change and Mineral Dust;W/m2;0;;total radiative forcing from albedo change and mineral dust
Forcing|CH4;W/m2;0;;total radiative forcing from CH4
Forcing|CO2;W/m2;0;;total radiative forcing from CO2
Forcing|F-Gases;W/m2;0;;total radiative forcing from F-gases
Forcing|Kyoto Gases;W/m2;0;;radiative forcing of the six Kyoto gases (CO2, CH4, N2O, SF6, HFCs, PFCs)
Forcing|Montreal Gases;W/m2;0;;total radiative forcing from Montreal gases
Forcing|N2O;W/m2;0;;total radiative forcing from N2O
Forcing|Other;W/m2;0;;total radiative forcing from factors not covered in other categories (including stratospheric ozone and stratospheric water vapor)
Forcing|Tropospheric Ozone;W/m2;0;;total radiative forcing from tropospheric ozone
Population;million;0;;Total population
Population|Rural;million;0;;Total population living in rural areas
Population|Urban;million;0;;Total population living in urban areas
Population|Working Age;million;0;;Total working age population (age 15-65 years)
Consumption;billion US$2010/yr;0;;total consumption of all goods, by all consumers in a region
GDP|MER;billion US$2010/yr OR local currency;0;;GDP at market exchange rate
GDP|PPP;billion US$2010/yr OR local currency;0;;GDP converted to International $ using purchasing power parity (PPP)
Value Added|Agriculture;billion US$2010/yr OR local currency;0;;value added of the agricultural sector
Value Added|Commercial;billion US$2010/yr OR local currency;0;;value added of the commercial sector
Value Added|industry;billion US$2010/yr OR local currency;0;;value added of the industry sector
Capital Formation;billion US$2010/yr OR local currency;0;;net additions to the physical capital stock
Expenditure|government;billion US$2010/yr OR local currency;0;;total government expenditure
Expenditure|household;billion US$2010/yr OR local currency;0;;Total household expenditure
Export;billion US$2010/yr OR local currency;0;;total exports measured in monetary quantities.
Import;billion US$2010/yr OR local currency;0;;total imports measured in monetary quantities.
Capital Stock;billion US$2010/yr or local currency/yr;0;;Macroeconomic capital stock
Interest Rate|Real;%;0;;Real interest rate or return on capital that is relevant for energy system investments
Value Added|industry|Energy;billion US$2010/yr OR local currency;0;;value added of the energy-related sectors
Value Added|industry|Manufacturing;billion US$2010/yr OR local currency;0;;value added of the manufacturing sectors
Value Added|industry|Energy Intensive;billion US$2010/yr OR local currency;0;;value added of the energy-intensive industries.
Policy Cost|Welfare Change;billion US$2010/yr OR local currency;0;;Policy cost for welfare change
Emissions|CO2|AFOLU;Mt CO2/yr;;;CO2 emissions from agriculture, forestry and other land use (IPCC category 3)
Emissions|CO2|Energy;Mt CO2/yr;;;CO2 emissions from energy use on supply and demand side (IPCC category 1A, 1B)
Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;;;CO2 emissions from energy use on supply and demand side (IPCC category 1A, 1B) and  from industrial processes (IPCC categories 2A, B, C, E)
Emissions|CO2|Energy|Demand;Mt CO2/yr;;;CO2 emissions from fuel combustion in industry (IPCC category 1A2), residential, commercial, institutional sectors and agriculture, forestry, fishing (AFOFI) (IPCC category 1A4a,  1A4b, 1A4c), and transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)
Emissions|CO2|Energy|Demand|industry;Mt CO2/yr;;;CO2 emissions from fuel combustion in industry (IPCC category 1A2)
Emissions|CO2|Energy|Demand|Residential and Commercial;Mt CO2/yr;;;CO2 emissions from fuel combustion in residential, commercial, institutional sectors (IPCC category 1A4a,  1A4b)
Emissions|CO2|Energy|Demand|Transportation;Mt CO2/yr;;;CO2 emissions from fuel combustion in transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)
Emissions|CO2|Energy|Supply;Mt CO2/yr;;;CO2 emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a), other energy conversion (e.g. refineries, synfuel production, solid fuel processing, IPCC category 1Ab, 1Ac), incl. pipeline transportation (IPCC category 1A3ei), fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)
Emissions|CO2|Energy|Supply|Electricity;Mt CO2/yr;;;CO2 emissions from electricity and CHP production and distribution (IPCC category 1A1ai and 1A1aii)
Emissions|CO2|Industrial Processes;Mt CO2/yr;;;CO2 emissions from industrial processes (IPCC categories 2A, B, C, E)
Emissions|CO2;Mt CO2/yr;;;total CO2 emissions
Emissions|CO2|Energy|Demand|AFOFI;Mt CO2/yr;;;CO2 emissions from fuel combustion in agriculture, forestry, fishing (AFOFI) (IPCC category 1A4c)
Emissions|CO2|Energy|Demand|Commercial;Mt CO2/yr;;;CO2 emissions from fuel combustion in commercial and institutional sectors (IPCC category 1A4a)
Emissions|CO2|Energy|Demand|Other Sector;Mt CO2/yr;;;CO2 emissions from fuel combustion in other energy supply sectors (please provide a definition of other sources in this category in the 'comments' tab)
Emissions|CO2|Energy|Demand|Residential;Mt CO2/yr;;;CO2 emissions from fuel combustion in residential (IPCC category 1A4b)
Emissions|CO2|Energy|Demand|Transportation|Freight;Mt CO2/yr;;;CO2 emissions from fuel combustion in freight transportation sector (part of IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)
Emissions|CO2|Energy|Demand|Transportation|Passenger;Mt CO2/yr;;;CO2 emissions from fuel combustion in passenger transportation sector (part of IPCC category 1A3)
Emissions|CO2|Energy|Supply|Gases;Mt CO2/yr;;;CO2 emissions from fuel combustion and fugitive emissions from fuels: gaseous fuel extraction and processing (e.g. natural gas extraction production, IPCC category 1B2b, parts of 1A1cii)
Emissions|CO2|Energy|Supply|Heat;Mt CO2/yr;;;CO2 emissions from heat production and distribution (IPCC category 1A1aiii)
Emissions|CO2|Energy|Supply|Liquids;Mt CO2/yr;;;CO2 emissions from fuel combustion and fugitive emissions from fuels: liquid fuel extraction and processing (e.g. oil production, refineries, synfuel production, IPCC category 1A1b, parts of 1A1cii, 1B2a)
Emissions|CO2|Energy|Supply|Other Sector;Mt CO2/yr;;;CO2 emissions from fuel combustion in other energy supply sectors (please provide a definition of other sources in this category in the 'comments' tab)
Emissions|CO2|Energy|Supply|Solids;Mt CO2/yr;;;CO2 emissions from fuel combustion and fugitive emissions from fuels: solid fuel extraction and processing (IPCC category 1A1ci, parts of 1A1cii, 1B1)
Emissions|CO2|Other;Mt CO2/yr;;;CH4 emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab)
Emissions|C2F6;kt C2F6/yr;;;total emissions of C2F6
Emissions|C6F14;kt C6F14/yr;;;total emissions of CF6F14
Emissions|CF4;kt CF4/yr;;;total emissions of CF4
Emissions|HFC|HFC125;kt HFC125/yr;;;total emissions of HFC125
Emissions|HFC|HFC134a;kt HFC134a/yr;;;total emissions of HFC134a
Emissions|HFC|HFC143a;kt HFC143a/yr;;;total emissions of HFC143a
Emissions|HFC|HFC227ea;kt HFC227ea/yr;;;total emissions of HFC227ea
Emissions|HFC|HFC23;kt HFC23/yr;;;total emissions of HFC23
Emissions|HFC|HFC245fa;kt HFC245fa/yr;;;total emissions of HFC245fa
Emissions|HFC|HFC32;kt HFC32/yr;;;total emissions of HFC32
Emissions|HFC|HFC43-10;kt HFC43-10/yr;;;total emissions of HFC343-10
Emissions|BC;Mt BC/yr;;;total BC emissions
Emissions|CH4;Mt CH4/yr;;;total CH4 emissions
Emissions|CO;Mt CO/yr;;;total CO emissions
Emissions|F-Gases;Mt CO2-equiv/yr;;;total F-gas emissions, including sulfur hexafluoride (SF6), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs) (preferably use 100-year GWPs from AR4 for aggregation of different F-gases, in case other GWPs have been used, please document this on the 'comments' tab)
Emissions|Kyoto Gases;Mt CO2-equiv/yr;;;total Kyoto GHG emissions, including CO2, CH4, N2O and F-gases (preferably use 100-year GWPs from AR4 for aggregation of different gases, in case other GWPs have been used, please document this on the 'comments' tab)
Emissions|N2O;kt N2O/yr;;;total N2O emissions
Emissions|NOx;Mt NO2/yr;;;total NOx emissions
Emissions|OC;Mt OC/yr;;;total OC emissions
Emissions|Sulfur;Mt SO2/yr;;;total Sulfur (SO2) emissions
Emissions|BC|AFOLU;Mt BC/yr;;;BC emissions from agriculture, forestry and other land use (IPCC category 3)
Emissions|BC|Energy;Mt BC/yr;;;BC emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)
Emissions|BC|Energy|Demand|industry;Mt BC/yr;;;BC emissions from fuel combustion in industry (IPCC category 1A2)
Emissions|BC|Energy|Demand|Residential and Commercial;Mt BC/yr;;;BC emissions from fuel combustion in residential, commercial, institutional sectors and agriculture (IPCC category 1A4a,  1A4b)
Emissions|BC|Energy|Demand|Transportation;Mt BC/yr;;;BC emissions from fuel combustion in transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)
Emissions|BC|Energy|Supply;Mt BC/yr;;;BC emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a), other energy conversion (e.g. refineries, synfuel production, solid fuel processing, IPCC category 1Ab, 1Ac), incl. pipeline transportation (IPCC category 1A3ei), fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)
Emissions|BC|Other;Mt BC/yr;;;BC emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab)
Emissions|CH4|AFOLU;Mt CH4/yr;;;CH4 emissions from agriculture, forestry and other land use (IPCC category 3)
Emissions|CH4|Energy;Mt CH4/yr;;;CH4 emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)
Emissions|CH4|Energy|Demand|industry;Mt CH4/yr;;;CH4 emissions from fuel combustion in industry (IPCC category 1A2)
Emissions|CH4|Energy|Demand|Residential and Commercial;Mt CH4/yr;;;CH4 emissions from fuel combustion in residential, commercial, institutional sectors (IPCC category 1A4a,  1A4b)
Emissions|CH4|Energy|Demand|Transportation;Mt CH4/yr;;;CH4 emissions from fuel combustion in transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)
Emissions|CH4|Energy|Supply;Mt CH4/yr;;;CH4 emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a), other energy conversion (e.g. refineries, synfuel production, solid fuel processing, IPCC category 1Ab, 1Ac), incl. pipeline transportation (IPCC category 1A3ei), fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)
Emissions|CH4|Other;Mt CH4/yr;;;CH4 emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab)
Emissions|CO|AFOLU;Mt CO/yr;;;Land Use based Carbon Monoxide Emissions
Emissions|CO|Energy;Mt CO/yr;;;Carbon Monoxide emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)
Emissions|CO|Energy|Demand|industry;Mt CO/yr;;;Carbon Monoxide Emissions from Combustion in industry (IPCC 1A2) and industrial processes  (IPCC 2C1-2C5)
Emissions|CO|Energy|Demand|Residential and Commercial;Mt CO/yr;;;Carbon Monoxide Emissions from Combustion in Residential and Commercial/Institutional Sectors (IPCC 1A4A,  1A4B)
Emissions|CO|Energy|Demand|Transportation;Mt CO/yr;;;Carbon Monoxide Emissions from Combustion in Transportation Sector (IPCC category 1A3)
Emissions|CO|Energy|Supply;Mt CO/yr;;;Carbon Monoxide Emissions from Extraction and Distribution of Fossil Fuels (including fugitive Emissions, IPCC category 1B), Electricity production and distribution,  district heating and other energy conversion (e.g. refineries, synfuel production)
Emissions|CO|Other;Mt CO/yr;;;Carbon Monoxide Emissions from other energy end-use sectors that do not fit to any other category (please provide a definition of the sectors in this category in the 'comments' tab)
Emissions|HFC;kt HFC134a-equiv/yr;;;total emissions of hydrofluorocarbons (HFCs), provided as aggregate HFC134a-equivalents
Emissions|N2O|AFOLU;kt N2O/yr;;;N2O emissions from agriculture, forestry and other land use (IPCC category 3)
Emissions|N2O|Energy;kt N2O/yr;;;N2O emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)
Emissions|N2O|Other;kt N2O/yr;;;N2O emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab)
Emissions|NH3;Mt NH3/yr;;;total ammonium emissions
Emissions|NH3|AFOLU;Mt NH3/yr;;;Land Use based Ammonia Emissions
Emissions|NH3|Energy;Mt NH3/yr;;;Ammonia emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)
Emissions|NH3|Energy|Demand|industry;Mt NH3/yr;;;Ammonia Emissions from Combustion in industry (IPCC 1A2) and industrial processes  (IPCC 2C1-2C5)
Emissions|NH3|Energy|Demand|Residential and Commercial;Mt NH3/yr;;;Ammonia Emissions from Combustion in Residential and Commercial/Institutional Sectors (IPCC 1A4A,  1A4B)
Emissions|NH3|Energy|Demand|Transportation;Mt NH3/yr;;;Ammonia Emissions from Combustion in Transportation Sector (IPCC category 1A3)
Emissions|NH3|Energy|Supply;Mt NH3/yr;;;Ammonia Emissions from Extraction and Distribution of Fossil Fuels (including fugitive Emissions, IPCC category 1B), Electricity production and distribution,  district heating and other energy conversion (e.g. refineries, synfuel production)
Emissions|NH3|Other;Mt NH3/yr;;;Ammonia Emissions from other energy end-use sectors that do not fit to any other category (please provide a definition of the sectors in this category in the 'comments' tab)
Emissions|NOx|AFOLU;Mt NO2/yr;;;NOx emissions from agriculture, forestry and other land use (IPCC category 3)
Emissions|NOx|Energy;Mt NO2/yr;;;NOx emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)
Emissions|NOx|Energy|Demand|industry;Mt NO2/yr;;;NOx emissions from fuel combustion in industry (IPCC category 1A2)
Emissions|NOx|Energy|Demand|Residential and Commercial;Mt NO2/yr;;;NOx emissions from fuel combustion in residential, commercial, institutional sectors (IPCC category 1A4a,  1A4b)
Emissions|NOx|Energy|Demand|Transportation;Mt NO2/yr;;;NOx emissions from fuel combustion in transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)
Emissions|NOx|Energy|Supply;Mt NO2/yr;;;NOx emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a), other energy conversion (e.g. refineries, synfuel production, solid fuel processing, IPCC category 1Ab, 1Ac), incl. pipeline transportation (IPCC category 1A3ei), fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)
Emissions|NOx|Other;Mt NO2/yr;;;NOx emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab)
Emissions|OC|AFOLU;Mt OC/yr;;;OC emissions from agriculture, forestry and other land use (IPCC category 3)
Emissions|OC|Energy;Mt OC/yr;;;OC emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)
Emissions|OC|Energy|Demand|industry;Mt OC/yr;;;OC emissions from fuel combustion in industry (IPCC category 1A2)
Emissions|OC|Energy|Demand|Residential and Commercial;Mt OC/yr;;;OC emissions from fuel combustion in residential, commercial, institutional sectors (IPCC category 1A4a,  1A4b)
Emissions|OC|Energy|Demand|Transportation;Mt OC/yr;;;OC emissions from fuel combustion in transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)
Emissions|OC|Energy|Supply;Mt OC/yr;;;OC emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a), other energy conversion (e.g. refineries, synfuel production, solid fuel processing, IPCC category 1Ab, 1Ac), incl. pipeline transportation (IPCC category 1A3ei), fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)
Emissions|OC|Other;Mt OC/yr;;;OC emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab)
Emissions|PFC;kt CF4-equiv/yr;;;total emissions of perfluorocarbons (PFCs), provided as aggregate CF4-equivalents
Emissions|SF6;kt SF6/yr;;;total emissions of sulfur hexafluoride (SF6)
Emissions|Sulfur|AFOLU;Mt SO2/yr;;;Sulfur (SO2) emissions from agriculture, forestry and other land use (IPCC category 3)
Emissions|Sulfur|Energy;Mt SO2/yr;;;Sulfur (SO2) emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)
Emissions|Sulfur|Energy|Demand|industry;Mt SO2/yr;;;Sulfur (SO2) emissions from fuel combustion in industry (IPCC category 1A2)
Emissions|Sulfur|Energy|Demand|Residential and Commercial;Mt SO2/yr;;;Sulfur (SO2) emissions from fuel combustion in residential, commercial, institutional sectors (IPCC category 1A4a,  1A4b)
Emissions|Sulfur|Energy|Demand|Transportation;Mt SO2/yr;;;Sulfur (SO2) emissions from fuel combustion in transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)
Emissions|Sulfur|Energy|Supply;Mt SO2/yr;;;Sulfur (SO2) emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a), other energy conversion (e.g. refineries, synfuel production, solid fuel processing, IPCC category 1Ab, 1Ac), incl. pipeline transportation (IPCC category 1A3ei), fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)
